Character,Binary
﻿,1110101010111110100
#,1110101010111110101
é,1000111101101101010
è,1000111101101101011
%,1000111101101101000
Q,1000111101101101001
ô,111010101011111011
X,111010101011111000
$,111010101011111001
[,10001111011011011
],10001111011011000
•,10001111011011001
ê,11101010101111110
/,11101010101111111
*,100011110010000
6,100011110010001
9,100011110010010
5,100011110010011
8,100011110110111
4,111010101011110
0,111010111110100
æ,111010111110101
3,111010111110110
7,111010111110111
K,10001111011010
(,11101010100100
),11101010100101
2,11101010101110
V,1000100011100
‘,1000100011101
™,1000111100101
:,1000111101100
U,1110101010011
J,1110101010110
_,1110101111100
1,100010001111
R,100011110011
—,100011110111
L,111010100110
D,111010100111
-,111010101000
N,111010101010
’,111010110010
Y,111010110011
O,111010111111
P,10001000110
G,10001001000
z,10001001001
C,10001001100
F,10001001101
?,10001111000
!,10001111010
B,11101010010
W,11101010110
”,11101010111
M,11101011000
H,11101011010
E,11101011011
q,11101011110
S,1000100010
A,1000100101
j,1000100111
“,1110101000
T,1110101110
x,100010000
;,100011111
k,10001110
.,1000101
I,1000110
v,1110100
b,1111100
",",1111101
g,001110
p,001111
w,101100
"
",101101
y,101110
f,101111
c,111011
m,111111
u,00110
l,10000
d,11100
h,11110
r,0000
s,0001
i,0010
n,0110
o,0111
a,1001
t,1010
e,010
 ,110
zeros,1
